split_id,repeat_id,fold,strategy,model,calibration,best_inner_deviance,alpha,lambda,roc_auc,pr_auc,log_loss,brier,n_test,n_pos_test
70,7,10,ridge_raw,ridge,raw,0.24619582878035826,0,0.055897021063367566,1,1,0.1198844427785482,0.026381387841767474,56,21
70,7,10,ridge_sigmoid,ridge,sigmoid,0.24619582878035826,0,0.055897021063367566,1,1,0.040937370405296825,0.006475915268161108,56,21
70,7,10,ridge_isotonic,ridge,isotonic,0.24619582878035826,0,0.055897021063367566,1,1,0.02777773386553655,0.0030190860638593946,56,21
70,7,10,lasso_raw,lasso,raw,0.20924862104264672,1,0.010233281621518354,0.998639455782313,0.9977839620696763,0.0992026753263038,0.024058618582499688,56,21
70,7,10,lasso_sigmoid,lasso,sigmoid,0.20924862104264672,1,0.010233281621518354,0.998639455782313,0.9977839620696763,0.06616936342969285,0.01797965202739419,56,21
70,7,10,lasso_isotonic,lasso,isotonic,0.20924862104264672,1,0.010233281621518354,0.998639455782313,0.9978354978354979,0.059274619102840966,0.017327364580930413,56,21
70,7,10,enet_raw,enet,raw,0.16945505541644373,0.1,0.008300530223367013,1,1,0.06555938322328488,0.012518667710512849,56,21
70,7,10,enet_sigmoid,enet,sigmoid,0.16945505541644373,0.1,0.008300530223367013,1,1,0.03433280691716642,0.00639344397951792,56,21
70,7,10,enet_isotonic,enet,isotonic,0.16945505541644373,0.1,0.008300530223367013,1,1,0.01792064140292705,0.0026066643353583746,56,21
71,8,1,ridge_raw,ridge,raw,0.2288797835268704,0,0.046264518771819065,1,1,0.109606402024916,0.028886433803245806,58,22
71,8,1,ridge_sigmoid,ridge,sigmoid,0.2288797835268704,0,0.046264518771819065,1,1,0.07880448522501031,0.02546018333962466,58,22
71,8,1,ridge_isotonic,ridge,isotonic,0.2288797835268704,0,0.046264518771819065,0.9911616161616161,0.9890282131661442,0.10074786587142266,0.030202691640137256,58,22
71,8,1,lasso_raw,lasso,raw,0.20655481536637596,1,0.013486352714592397,0.9785353535353529,0.9799257759784076,0.1449454294609841,0.03448770275405313,58,22
71,8,1,lasso_sigmoid,lasso,sigmoid,0.20655481536637596,1,0.013486352714592397,0.9785353535353529,0.9799257759784076,0.15529030817961484,0.027940910029968492,58,22
71,8,1,lasso_isotonic,lasso,isotonic,0.20655481536637596,1,0.013486352714592397,0.9835858585858586,0.9841269841269842,0.12251013583563833,0.0256013382777495,58,22
71,8,1,enet_raw,enet,raw,0.19114252553043934,0.7,0.01102483837379623,0.9848484848484844,0.9837141468157511,0.12505222346101483,0.03265782124464983,58,22
71,8,1,enet_sigmoid,enet,sigmoid,0.19114252553043934,0.7,0.01102483837379623,0.9848484848484844,0.9837141468157511,0.126079716924093,0.028890390827283438,58,22
71,8,1,enet_isotonic,enet,isotonic,0.19114252553043934,0.7,0.01102483837379623,0.9766414141414141,0.9763614492964934,0.14414532954999643,0.03270619147305342,58,22
72,8,2,ridge_raw,ridge,raw,0.23147107859089178,0,0.05582991956527269,0.9797979797979792,0.9806026121815595,0.1532856461192141,0.03553962621782868,58,22
72,8,2,ridge_sigmoid,ridge,sigmoid,0.23147107859089178,0,0.05582991956527269,0.9797979797979792,0.9806026121815595,0.18083717110087996,0.026222244024827764,58,22
72,8,2,ridge_isotonic,ridge,isotonic,0.23147107859089178,0,0.05582991956527269,0.9734848484848485,0.9808429118773947,0.2621389448753359,0.022124059929507424,58,22
72,8,2,lasso_raw,lasso,raw,0.18349794333830013,1,0.007044936828446155,0.9810606060606056,0.9799553981372163,0.13726924086234343,0.032476065852256576,58,22
72,8,2,lasso_sigmoid,lasso,sigmoid,0.18349794333830013,1,0.007044936828446155,0.9810606060606056,0.9799553981372163,0.15537796954203292,0.03126117114416657,58,22
72,8,2,lasso_isotonic,lasso,isotonic,0.18349794333830013,1,0.007044936828446155,0.9829545454545455,0.9823512284709625,0.1424183992914876,0.033626435363847934,58,22
72,8,2,enet_raw,enet,raw,0.14149494929167597,0.3,0.0058169488157330685,0.9810606060606055,0.9813165438165439,0.13705529043601813,0.02754220668658197,58,22
72,8,2,enet_sigmoid,enet,sigmoid,0.14149494929167597,0.3,0.0058169488157330685,0.9810606060606055,0.9813165438165439,0.15749483567391798,0.02438387504885322,58,22
72,8,2,enet_isotonic,enet,isotonic,0.14149494929167597,0.3,0.0058169488157330685,0.9722222222222223,0.9796238244514107,0.26194647445450414,0.02129568129654337,58,22
73,8,3,ridge_raw,ridge,raw,0.24013559268021023,0,0.06143870094217609,0.9986772486772487,0.9977839620696763,0.13371055068083623,0.03294405203311651,57,21
73,8,3,ridge_sigmoid,ridge,sigmoid,0.24013559268021023,0,0.06143870094217609,0.9986772486772487,0.9977839620696763,0.0714271531683057,0.019727960086983905,57,21
73,8,3,ridge_isotonic,ridge,isotonic,0.24013559268021023,0,0.06143870094217609,0.998015873015873,0.9967532467532467,0.06440042455788021,0.016622833158969928,57,21
73,8,3,lasso_raw,lasso,raw,0.2407534567232505,1,0.016318658297262915,0.9973544973544973,0.9954596990311276,0.12497130429220352,0.03077959532641554,57,21
73,8,3,lasso_sigmoid,lasso,sigmoid,0.2407534567232505,1,0.016318658297262915,0.9973544973544973,0.9954596990311276,0.07969510619929154,0.021774208848318415,57,21
73,8,3,lasso_isotonic,lasso,isotonic,0.2407534567232505,1,0.016318658297262915,0.9966931216931217,0.9942640692640693,0.06664406119876375,0.01852152295141111,57,21
73,8,3,enet_raw,enet,raw,0.16657242196397654,0.5,0.004215271531464456,1,1,0.06964292156706546,0.016627340675487146,57,21
73,8,3,enet_sigmoid,enet,sigmoid,0.16657242196397654,0.5,0.004215271531464456,1,1,0.0606367278767658,0.01625104035904041,57,21
73,8,3,enet_isotonic,enet,isotonic,0.16657242196397654,0.5,0.004215271531464456,1,1,0.035111642871874904,0.008362148984904208,57,21
74,8,4,ridge_raw,ridge,raw,0.24735890025767676,0,0.05540266350920843,1,1,0.0751613762728421,0.013903972313106232,57,21
74,8,4,ridge_sigmoid,ridge,sigmoid,0.24735890025767676,0,0.05540266350920843,1,1,0.029978400175883976,0.008842732711367339,57,21
74,8,4,ridge_isotonic,ridge,isotonic,0.24735890025767676,0,0.05540266350920843,1,1,0.02408514865109429,0.006419882938429552,57,21
74,8,4,lasso_raw,lasso,raw,0.2503995851928166,1,0.016150170395119068,1,1,0.07153159173172141,0.01494768262890199,57,21
74,8,4,lasso_sigmoid,lasso,sigmoid,0.2503995851928166,1,0.016150170395119068,1,1,0.04508340115846632,0.015354271856673192,57,21
74,8,4,lasso_isotonic,lasso,isotonic,0.2503995851928166,1,0.016150170395119068,1,1,0.04881147278989794,0.018366349713040825,57,21
74,8,4,enet_raw,enet,raw,0.1626060849377177,0.5,0.0050248869608197815,1,1,0.03987050064490703,0.009381011334576412,57,21
74,8,4,enet_sigmoid,enet,sigmoid,0.1626060849377177,0.5,0.0050248869608197815,1,1,0.03441572386244292,0.01160754703257102,57,21
74,8,4,enet_isotonic,enet,isotonic,0.1626060849377177,0.5,0.0050248869608197815,1,1,0.03793558243302239,0.013080646329263635,57,21
75,8,5,ridge_raw,ridge,raw,0.22931078243447653,0,0.0562646373947104,0.9867724867724866,0.9809371184371185,0.19523853187716853,0.058131743207789514,57,21
75,8,5,ridge_sigmoid,ridge,sigmoid,0.22931078243447653,0,0.0562646373947104,0.9867724867724866,0.9809371184371185,0.17021501617854967,0.044746945320378734,57,21
