split_id,strategy,model,feature,selection_freq,stable_selected,mean_jaccard_subsample,mean_k_selected,alpha,lambda
3,enet_raw,enet,mean_fractal_dimension,0.855,1,0.8279519514469672,24.6,0.3,0.007695904535325147
3,enet_raw,enet,se_radius,1,1,0.8279519514469672,24.6,0.3,0.007695904535325147
3,enet_raw,enet,se_texture,0.535,0,0.8279519514469672,24.6,0.3,0.007695904535325147
3,enet_raw,enet,se_perimeter,0.945,1,0.8279519514469672,24.6,0.3,0.007695904535325147
3,enet_raw,enet,se_area,1,1,0.8279519514469672,24.6,0.3,0.007695904535325147
3,enet_raw,enet,se_smoothness,0.645,0,0.8279519514469672,24.6,0.3,0.007695904535325147
3,enet_raw,enet,se_compactness,0.985,1,0.8279519514469672,24.6,0.3,0.007695904535325147
3,enet_raw,enet,se_concavity,0.23,0,0.8279519514469672,24.6,0.3,0.007695904535325147
3,enet_raw,enet,se_concave_points,0.535,0,0.8279519514469672,24.6,0.3,0.007695904535325147
3,enet_raw,enet,se_symmetry,0.625,0,0.8279519514469672,24.6,0.3,0.007695904535325147
3,enet_raw,enet,se_fractal_dimension,0.985,1,0.8279519514469672,24.6,0.3,0.007695904535325147
3,enet_raw,enet,worst_radius,1,1,0.8279519514469672,24.6,0.3,0.007695904535325147
3,enet_raw,enet,worst_texture,1,1,0.8279519514469672,24.6,0.3,0.007695904535325147
3,enet_raw,enet,worst_perimeter,1,1,0.8279519514469672,24.6,0.3,0.007695904535325147
3,enet_raw,enet,worst_area,1,1,0.8279519514469672,24.6,0.3,0.007695904535325147
3,enet_raw,enet,worst_smoothness,1,1,0.8279519514469672,24.6,0.3,0.007695904535325147
3,enet_raw,enet,worst_compactness,0.415,0,0.8279519514469672,24.6,0.3,0.007695904535325147
3,enet_raw,enet,worst_concavity,1,1,0.8279519514469672,24.6,0.3,0.007695904535325147
3,enet_raw,enet,worst_concave_points,1,1,0.8279519514469672,24.6,0.3,0.007695904535325147
3,enet_raw,enet,worst_symmetry,0.995,1,0.8279519514469672,24.6,0.3,0.007695904535325147
3,enet_raw,enet,worst_fractal_dimension,0.715,0,0.8279519514469672,24.6,0.3,0.007695904535325147
4,lasso_raw,lasso,mean_radius,0.06,0,0.5987216065913545,9.79,1,0.006980229239597048
4,lasso_raw,lasso,mean_texture,0.635,0,0.5987216065913545,9.79,1,0.006980229239597048
4,lasso_raw,lasso,mean_perimeter,0,0,0.5987216065913545,9.79,1,0.006980229239597048
4,lasso_raw,lasso,mean_area,0.005,0,0.5987216065913545,9.79,1,0.006980229239597048
4,lasso_raw,lasso,mean_smoothness,0.01,0,0.5987216065913545,9.79,1,0.006980229239597048
4,lasso_raw,lasso,mean_compactness,0,0,0.5987216065913545,9.79,1,0.006980229239597048
4,lasso_raw,lasso,mean_concavity,0.195,0,0.5987216065913545,9.79,1,0.006980229239597048
4,lasso_raw,lasso,mean_concave_points,0.685,0,0.5987216065913545,9.79,1,0.006980229239597048
4,lasso_raw,lasso,mean_symmetry,0.04,0,0.5987216065913545,9.79,1,0.006980229239597048
4,lasso_raw,lasso,mean_fractal_dimension,0.165,0,0.5987216065913545,9.79,1,0.006980229239597048
4,lasso_raw,lasso,se_radius,0.855,1,0.5987216065913545,9.79,1,0.006980229239597048
4,lasso_raw,lasso,se_texture,0.055,0,0.5987216065913545,9.79,1,0.006980229239597048
4,lasso_raw,lasso,se_perimeter,0.03,0,0.5987216065913545,9.79,1,0.006980229239597048
4,lasso_raw,lasso,se_area,0.02,0,0.5987216065913545,9.79,1,0.006980229239597048
4,lasso_raw,lasso,se_smoothness,0.1,0,0.5987216065913545,9.79,1,0.006980229239597048
4,lasso_raw,lasso,se_compactness,0.195,0,0.5987216065913545,9.79,1,0.006980229239597048
4,lasso_raw,lasso,se_concavity,0.005,0,0.5987216065913545,9.79,1,0.006980229239597048
4,lasso_raw,lasso,se_concave_points,0.005,0,0.5987216065913545,9.79,1,0.006980229239597048
4,lasso_raw,lasso,se_symmetry,0.1,0,0.5987216065913545,9.79,1,0.006980229239597048
4,lasso_raw,lasso,se_fractal_dimension,0.56,0,0.5987216065913545,9.79,1,0.006980229239597048
4,lasso_raw,lasso,worst_radius,0.99,1,0.5987216065913545,9.79,1,0.006980229239597048
4,lasso_raw,lasso,worst_texture,0.99,1,0.5987216065913545,9.79,1,0.006980229239597048
4,lasso_raw,lasso,worst_perimeter,0.395,0,0.5987216065913545,9.79,1,0.006980229239597048
4,lasso_raw,lasso,worst_area,0.03,0,0.5987216065913545,9.79,1,0.006980229239597048
4,lasso_raw,lasso,worst_smoothness,0.955,1,0.5987216065913545,9.79,1,0.006980229239597048
4,lasso_raw,lasso,worst_compactness,0.005,0,0.5987216065913545,9.79,1,0.006980229239597048
4,lasso_raw,lasso,worst_concavity,0.785,1,0.5987216065913545,9.79,1,0.006980229239597048
4,lasso_raw,lasso,worst_concave_points,0.975,1,0.5987216065913545,9.79,1,0.006980229239597048
4,lasso_raw,lasso,worst_symmetry,0.875,1,0.5987216065913545,9.79,1,0.006980229239597048
4,lasso_raw,lasso,worst_fractal_dimension,0.07,0,0.5987216065913545,9.79,1,0.006980229239597048
4,enet_raw,enet,mean_radius,0.81,1,0.7293336922349017,19.3,0.7,0.005199281872485256
4,enet_raw,enet,mean_texture,0.9,1,0.7293336922349017,19.3,0.7,0.005199281872485256
4,enet_raw,enet,mean_perimeter,0.74,0,0.7293336922349017,19.3,0.7,0.005199281872485256
4,enet_raw,enet,mean_area,0.815,1,0.7293336922349017,19.3,0.7,0.005199281872485256
4,enet_raw,enet,mean_smoothness,0.065,0,0.7293336922349017,19.3,0.7,0.005199281872485256
4,enet_raw,enet,mean_compactness,0.055,0,0.7293336922349017,19.3,0.7,0.005199281872485256
4,enet_raw,enet,mean_concavity,0.635,0,0.7293336922349017,19.3,0.7,0.005199281872485256
4,enet_raw,enet,mean_concave_points,0.985,1,0.7293336922349017,19.3,0.7,0.005199281872485256
4,enet_raw,enet,mean_symmetry,0.115,0,0.7293336922349017,19.3,0.7,0.005199281872485256
4,enet_raw,enet,mean_fractal_dimension,0.6,0,0.7293336922349017,19.3,0.7,0.005199281872485256
4,enet_raw,enet,se_radius,0.995,1,0.7293336922349017,19.3,0.7,0.005199281872485256
4,enet_raw,enet,se_texture,0.415,0,0.7293336922349017,19.3,0.7,0.005199281872485256
4,enet_raw,enet,se_perimeter,0.735,0,0.7293336922349017,19.3,0.7,0.005199281872485256
4,enet_raw,enet,se_area,0.865,1,0.7293336922349017,19.3,0.7,0.005199281872485256
4,enet_raw,enet,se_smoothness,0.33,0,0.7293336922349017,19.3,0.7,0.005199281872485256
4,enet_raw,enet,se_compactness,0.76,1,0.7293336922349017,19.3,0.7,0.005199281872485256
4,enet_raw,enet,se_concavity,0.025,0,0.7293336922349017,19.3,0.7,0.005199281872485256
4,enet_raw,enet,se_concave_points,0.05,0,0.7293336922349017,19.3,0.7,0.005199281872485256
4,enet_raw,enet,se_symmetry,0.39,0,0.7293336922349017,19.3,0.7,0.005199281872485256
4,enet_raw,enet,se_fractal_dimension,0.82,1,0.7293336922349017,19.3,0.7,0.005199281872485256
4,enet_raw,enet,worst_radius,1,1,0.7293336922349017,19.3,0.7,0.005199281872485256
4,enet_raw,enet,worst_texture,1,1,0.7293336922349017,19.3,0.7,0.005199281872485256
4,enet_raw,enet,worst_perimeter,1,1,0.7293336922349017,19.3,0.7,0.005199281872485256
4,enet_raw,enet,worst_area,1,1,0.7293336922349017,19.3,0.7,0.005199281872485256
4,enet_raw,enet,worst_smoothness,0.995,1,0.7293336922349017,19.3,0.7,0.005199281872485256
4,enet_raw,enet,worst_compactness,0.025,0,0.7293336922349017,19.3,0.7,0.005199281872485256
4,enet_raw,enet,worst_concavity,0.995,1,0.7293336922349017,19.3,0.7,0.005199281872485256
4,enet_raw,enet,worst_concave_points,1,1,0.7293336922349017,19.3,0.7,0.005199281872485256
4,enet_raw,enet,worst_symmetry,0.975,1,0.7293336922349017,19.3,0.7,0.005199281872485256
4,enet_raw,enet,worst_fractal_dimension,0.205,0,0.7293336922349017,19.3,0.7,0.005199281872485256
